framework,run,first-contentful-paint,largest-contentful-paint,total-blocking-time,server-response-time,speed-index,first-meaningful-paint,dom-content-loaded,interactive,max-potential-fid,bootup-time
react,1,1977.6541499999998,2099.65415,50.0,2.4250000000000003,1977.6541499999998,1977.6541499999998,170,2102.65415,92.0,183.11599999999999
react,2,1957.4338750000002,2108.92065,11.5,1.55,1957.4338750000002,1957.4338750000002,102,1993.9338750000002,73.0,119.81600000000002
react,3,1956.9144,2060.9144,0.0,2.885,1956.9144,1956.9144,57,1956.9144,48.999999999999886,107.85200000000002
react,4,1956.86475,2108.2376999999997,7.5,2.949,1956.86475,1956.86475,61,1989.36475,65.0,118.78000000000002
react,5,1955.475125,2106.5701500000005,0.0,2.49,1955.475125,1955.475125,48,1955.475125,50.0,89.65600000000003
react,6,1955.0720000000001,2106.0864,3.0,2.333,1955.0720000000001,1955.0720000000001,48,1983.0720000000001,56.0,111.82000000000001
react,7,1954.28675,2105.1441,1.0,2.1769999999999996,1954.28675,1954.28675,48,1980.28675,52.0,91.24800000000009
react,8,1955.4071250000002,2106.48855,2.0,2.6439999999999997,1955.4071250000002,1955.4071250000002,57,1993.6628500000002,1357.0,99.31200000000007
react,9,1973.63175,2080.63175,45.061375,2.363,1973.63175,1973.63175,102,2118.693125,88.0,161.10799999999992
react,10,1954.73075,2105.6769,3.0,2.567,1954.73075,1954.73075,53,2007.73075,56.0,120.24400000000004
react,11,1956.0991250000002,2107.31895,0.0,2.665,1956.0991250000002,1956.0991250000002,49,1956.0991250000002,47.0,89.16400000000007
react,12,1963.89435,2061.89435,4.0,2.009,1963.89435,1963.89435,99,2012.89435,57.999999999999886,109.23200000000004
react,13,1955.659375,2106.79125,16.000000000000114,2.4690000000000003,1955.659375,1955.659375,54,2059.79125,82.00000000000023,123.47200000000004
react,14,2300.1115,2300.1115,0.0,2.605,2300.1115,2300.1115,161,2300.1115,41.0,90.07999999999996
react,15,1969.789625,2123.74755,9.5,3.399,1969.789625,1969.789625,73,2004.289625,69.0,122.54799999999997
react,16,1954.584125,2105.50095,0.0,1.819,1954.584125,1954.584125,44,1954.584125,42.0,85.25600000000006
react,17,1955.3345,2106.4013999999997,2.0,2.597,1955.3345,1955.3345,49,1982.3345,54.0,110.83200000000001
react,18,1956.3055,2107.5666,0.0,3.313,1956.3055,1956.3055,48,1956.3055,47.0,94.1040000000001
react,19,1958.1606,2074.1606,0.0,2.826,1958.1606,1958.1606,62,1958.1606,41.0,88.10400000000006
react,20,1957.086375,2108.50365,9.5,3.712,1957.086375,1957.086375,60,1991.586375,69.0,105.60800000000005
react,21,1957.40225,2108.8827,1.5,2.1710000000000003,1957.40225,1957.40225,61,1983.90225,53.0,108.77200000000005
react,22,1955.575,2106.69,0.0,2.513,1955.575,1955.575,51,1955.575,47.0,103.75200000000004
react,23,1954.6311249999999,2105.55735,0.0,2.334,1954.6311249999999,1954.6311249999999,44,1954.6311249999999,46.0,92.11200000000001
react,24,1955.242375,2106.2908500000003,0.0,2.375,1955.242375,1955.242375,49,1955.242375,42.0,88.77599999999998
react,25,1956.0921250000001,1956.0921250000001,0.0,2.87,1956.0921250000001,1956.0921250000001,46,1956.0921250000001,43.0,103.47200000000007
react,26,1956.66925,2108.0031,0.0,3.0620000000000003,1956.66925,1956.66925,56,1956.66925,47.0,98.78000000000004
react,27,1954.60995,2050.60995,0.0,1.695,1954.60995,1954.60995,46,1954.60995,40.0,87.98400000000001
react,28,1955.744,2106.8927999999996,0.0,2.6919999999999997,1955.744,1955.744,46,1955.744,43.0,113.14799999999998
react,29,1954.347875,2105.21745,0.0,1.6,1954.347875,1954.347875,51,1954.347875,43.0,90.38800000000002
react,30,1954.277125,2105.1325500000003,0.0,3.0300000000000002,1954.277125,1954.277125,47,1954.277125,48.0,87.67200000000003
react,31,1955.29,2106.348,0.0,2.617,1955.29,1955.29,46,1955.29,50.0,114.56400000000001
react,32,1953.987,2104.7843999999996,0.0,1.5130000000000001,1953.987,1953.987,50,1953.987,42.0,91.32000000000002
react,33,1958.222875,2109.8674499999997,9.0,2.9080000000000004,1958.222875,1958.222875,92,1992.222875,68.0,120.84800000000001
react,34,1955.36425,2106.4371,0.5,2.311,1955.36425,1955.36425,46,1980.86425,51.0,107.78000000000003
react,35,1955.729,2106.8748,0.0,2.551,1955.729,1955.729,47,1955.729,43.0,92.636
react,36,1954.987625,2105.98515,0.0,2.3,1954.987625,1954.987625,43,1954.987625,45.0,96.62000000000006
react,37,1954.923875,2105.9086500000003,0.0,2.4330000000000003,1954.923875,1954.923875,46,1954.923875,46.0,102.91600000000001
react,38,1955.4386249999998,2106.52635,6.0,2.291,1955.4386249999998,1955.4386249999998,55,1986.4386249999998,62.0,108.73200000000007
react,39,1984.349,2141.2187999999996,387.0,9.578,1984.349,1984.3490000000002,139,2478.2188,260.0,428.0360000000002
react,40,1955.583375,2106.70005,0.0,2.7289999999999996,1955.583375,1955.583375,49,1955.583375,48.0,99.45600000000005
react,41,1957.0545,2052.0545,0.0,2.5140000000000002,1957.0545,1957.0545,53,1957.0545,48.0,91.86399999999998
react,42,1954.8221250000001,2105.78655,0.0,2.427,1954.8221250000001,1954.8221250000001,45,1954.8221250000001,42.0,103.79200000000006
react,43,1954.7484000000002,2061.2484,0.0,2.267,1954.7484000000002,1954.7484000000002,55,1954.7484000000002,49.0,100.588
react,44,1956.8561249999998,2108.22735,5.5,3.726,1956.8561249999998,1956.8561249999998,49,1987.3561249999998,61.0,109.52800000000008
react,45,1956.925125,2108.3101500000002,0.0,2.5829999999999997,1956.925125,1956.925125,53,1956.925125,47.0,99.26800000000007
react,46,1956.547375,2107.85685,5.5,2.954,1956.547375,1956.547375,63,1987.047375,61.0,100.66800000000009
react,47,1954.81525,2105.7783,0.0,2.104,1954.81525,1954.81525,45,1954.81525,43.0,88.25200000000004
react,48,1956.297,2107.5564000000004,0.0,3.041,1956.297,1956.297,61,1956.297,48.0,93.81600000000007
react,49,1954.800375,2105.7604499999998,6.0,2.319,1954.800375,1954.800375,50,1985.800375,62.0,98.95200000000006
react,50,1956.6556500000002,2053.15565,114.0,2.226,1956.6556500000002,1956.6556500000002,67,2170.65565,116.0,223.24800000000002
react,51,1955.104375,2106.12525,0.0,2.672,1955.104375,1955.104375,46,1955.104375,48.0,93.54000000000005
react,52,1955.3960000000002,2106.4752,0.0,2.489,1955.3960000000002,1955.3960000000002,50,1955.3960000000002,40.0,83.53600000000003
react,53,1955.890375,2107.0684499999998,0.0,2.788,1955.890375,1955.890375,49,1955.890375,42.0,90.72799999999997
react,54,1955.280375,2106.33645,0.0,2.647,1955.280375,1955.280375,46,1955.280375,44.0,88.88000000000007
react,55,1956.062875,2107.27545,69.0,2.865,1956.062875,1956.062875,64,2076.27545,119.0,159.5240000000001
react,56,1956.915125,2108.2981499999996,0.0,2.7009999999999996,1956.915125,1956.915125,48,1956.915125,45.0,90.49600000000004
react,57,1955.0149999999999,2106.018,62.0,1.868,1955.0149999999999,1955.0149999999999,77,2068.018,112.0,166.2120000000001
react,58,1977.4395,2096.9394999999995,79.0,2.061,1977.4395,1977.4395,105,2106.4395,129.0,174.528
react,59,1957.11825,2057.11825,1.0,2.564,1957.11825,1957.11825,50,1983.11825,52.0,111.36000000000004
react,60,1955.31,2106.3720000000003,0.0,2.677,1955.31,1955.31,44,1955.31,46.0,82.30800000000006
react,61,1956.4275,2053.4275000000002,0.0,2.1900000000000004,1956.4275,1956.4275,52,1956.4275,48.0,112.07600000000004
react,62,1954.740375,2105.68845,0.0,2.0909999999999997,1954.740375,1954.740375,43,1954.740375,48.0,109.86000000000001
react,63,1980.227875,2108.3646,0.0,2.338,1980.227875,1980.227875,42,1980.227875,41.0,92.81600000000006
react,64,1954.906375,2105.8876499999997,0.0,1.8949999999999998,1954.906375,1954.906375,44,1954.906375,41.0,85.07600000000005
react,65,1955.300875,2106.3610500000004,0.0,2.574,1955.300875,1955.300875,47,1955.300875,46.0,91.07200000000003
react,66,1955.749375,2106.8992500000004,0.0,2.677,1955.749375,1955.749375,48,1955.749375,44.0,90.81600000000007
react,67,1956.3229999999999,2107.5876,0.0,2.642,1956.3229999999999,1956.3229999999999,51,1956.3229999999999,47.0,91.988
react,68,1954.719375,2105.6632499999996,0.0,2.0829999999999997,1954.719375,1954.719375,45,1954.719375,43.0,90.48400000000001
react,69,1954.819,2105.7828,0.0,2.169,1954.819,1954.819,42,1954.819,47.0,100.42000000000003
react,70,1954.7562,2050.2562000000003,0.0,1.9200000000000002,1954.7562,1954.7562,49,1954.7562,42.0,95.24800000000005
react,71,1956.027,2107.2324,0.0,2.8070000000000004,1956.027,1956.027,49,1956.027,50.0,119.14400000000006
react,72,1956.41805,2054.41805,0.0,2.421,1956.41805,1956.41805,52,1956.41805,45.0,90.90799999999999
react,73,1956.6077500000001,2107.9293,0.0,2.566,1956.6077500000001,1956.6077500000001,56,1956.6077500000001,45.0,87.45200000000006
react,74,1959.0642500000001,2110.8771,0.0,2.246,1959.0642500000001,1959.0642500000001,58,1959.0642500000001,45.0,94.35600000000007
react,75,1956.7615500000002,2056.76155,3.5,2.5749999999999997,1956.7615500000002,1956.7615500000002,70,1985.2615500000002,57.0,98.34400000000002
react,76,1955.146125,2106.17535,5.0,2.394,1955.146125,1955.146125,50,1985.146125,60.0,102.89600000000004
react,77,1955.5258749999998,2106.63105,0.0,2.454,1955.5258749999998,1955.5258749999998,43,1955.5258749999998,46.0,112.43600000000004
react,78,1955.83815,2056.33815,0.0,3.0490000000000004,1955.83815,1955.83815,54,1955.83815,43.0,98.20400000000006
react,79,1955.92675,2107.1121000000003,0.0,2.974,1955.92675,1955.92675,57,1955.92675,47.0,86.25200000000005
react,80,1955.826625,2106.9919499999996,0.0,2.652,1955.826625,1955.826625,58,1955.826625,45.0,87.416
react,81,1955.2545,2106.3054,0.0,2.465,1955.2545,1955.2545,44,1955.2545,48.0,107.628
react,82,1954.8894999999998,2105.8674,0.0,3.003,1954.8894999999998,1954.8894999999998,50,1954.8894999999998,48.00000000000023,109.21200000000006
react,83,1958.7003,2064.2003,145.0,5.3919999999999995,1958.7003,1958.7003,83,2203.7003,123.0,261.316
react,84,1981.944125,2107.9106,0.0,2.235,1981.944125,1981.944125,42,1981.944125,47.0,103.57200000000003
react,85,1957.074375,2108.4892499999996,0.0,2.9459999999999997,1957.074375,1957.074375,64,1957.074375,42.0,86.09600000000006
react,86,1953.1245000000001,2103.7494,6.5,3.071,1953.1245000000001,1953.1245000000001,61,2007.6245000000001,63.0,140.90000000000003
react,87,1954.864,2105.8368,0.0,2.415,1954.864,1954.864,49,1954.864,46.0,84.15600000000005
react,88,1954.62475,2105.5497000000005,0.0,2.8419999999999996,1954.62475,1954.62475,43,1954.62475,45.0,99.84800000000004
react,89,1955.4116999999999,2054.4117,0.0,1.7109999999999999,1955.4116999999999,1955.4116999999999,55,1955.4116999999999,43.999999999999886,102.27200000000003
react,90,1954.95525,2105.9462999999996,0.0,2.27,1954.95525,1954.95525,55,1954.95525,48.99999999999977,102.52000000000005
react,91,1955.282125,2106.33855,0.0,2.767,1955.282125,1955.282125,45,1955.282125,16.0,105.44400000000006
react,92,1955.425375,2106.5104499999998,0.0,2.717,1955.425375,1955.425375,46,1955.425375,43.0,110.65200000000007
react,93,1957.434375,2108.9212500000003,0.0,2.868,1957.434375,1957.434375,49,1957.434375,46.0,79.68800000000003
react,94,1959.9022499999999,2068.40225,1.5,2.122,1959.9022499999999,1959.9022499999999,67,1986.4022499999999,52.999999999999886,94.92400000000004
react,95,1982.19975,2106.7196,0.0,1.666,1982.19975,1982.19975,42,1982.19975,22.0,88.17600000000006
react,96,1959.8198750000001,2111.78385,1.0,2.9090000000000003,1959.8198750000001,1959.8198750000001,53,1985.8198750000001,52.0,94.30799999999999
react,97,1956.057375,2107.2688500000004,0.0,2.546,1956.057375,1956.057375,73,1956.057375,48.0,97.26000000000003
react,98,1954.193375,2105.03205,0.0,1.8009999999999997,1954.193375,1954.193375,56,1954.193375,42.0,84.42000000000002
react,99,1955.5345,2106.6414,0.0,2.62,1955.5345,1955.5345,73,1955.5345,43.0,86.30000000000001
react,100,1955.29475,2106.3536999999997,0.0,2.779,1955.29475,1955.29475,49,1955.29475,45.0,103.41200000000003
vue,1,1433.3525,1600.0230000000001,0.0,3.104000000000042,2857.422912000019,1433.3525,1494,1433.3525,16.0,108.98800000000007
vue,2,1357.2130000000002,1381.2130000000002,0.0,2.871,1357.2130000000002,1381.2130000000002,57,1381.2130000000002,48.0,68.29200000000006
vue,3,1357.4355,1378.4355,0.0,3.0170000000000003,1357.4355,1378.4355,45,1378.4355,42.0,59.88400000000003
vue,4,1359.48225,1383.98225,0.0,3.117,1359.48225,1383.98225,56,1383.98225,49.0,84.53200000000002
vue,5,1357.26525,1382.76525,0.5,2.89,1357.26525,1382.76525,49,1408.26525,51.0,70.97600000000003
vue,6,1363.27995,1363.27995,0.0,3.214,1363.27995,1363.27995,70,1363.27995,16.0,64.91600000000005
vue,7,1358.1056250000001,1358.1056250000001,0.0,3.38,1358.1056250000001,1358.1056250000001,52,1358.1056250000001,16.0,63.52000000000004
vue,8,1359.7075,1382.2075,8058.675499999999,3.8739999999999997,4461.774926346284,1382.2075,46,9468.383,8860.0,70.42800000000003
vue,9,1357.9560000000001,1379.4560000000001,0.0,3.171,1357.9560000000001,1379.4560000000001,43,1379.4560000000001,43.0,59.392000000000074
vue,10,1358.147875,1358.147875,0.0,3.246,1358.147875,1358.147875,41,1358.147875,16.0,58.24800000000003
vue,11,1357.40425,1428.90425,91.51914999999997,2.966,1357.40425,1428.90425,105,1500.40425,143.0,263.3880000000001
vue,12,1357.3341249999999,1357.3341249999999,0.0,2.899,1357.3341249999999,1357.3341249999999,97,1357.3341249999999,16.0,226.80800000000008
vue,13,1363.4283,1393.9283,11.0,2.7,1363.4283,1393.9283,84,1424.4283,61.0,90.55599999999998
vue,14,1358.2467500000002,1358.2467500000002,0.0,3.28,1358.2467500000002,1358.2467500000002,44,1358.2467500000002,16.0,61.84400000000006
vue,15,1357.1243749999999,1382.1243749999999,0.0,2.819,1357.1243749999999,1382.1243749999999,50,1382.1243749999999,50.0,68.36800000000005
vue,16,1359.7480500000001,1381.2480500000001,0.0,3.226,1359.7480500000001,1381.2480500000001,48,1381.2480500000001,43.0,78.824
vue,17,1360.495375,1381.995375,0.0,4.174,1360.495375,1381.995375,60,1381.995375,43.0,61.31200000000003
vue,18,1358.0971249999998,1382.5971249999998,0.0,3.2239999999999998,1358.0971249999998,1382.5971249999998,47,1382.5971249999998,49.0,65.20400000000004
vue,19,1374.3975,1396.8975,0.0,5.186999999999999,1374.3975,1396.8975,69,1396.8975,45.0,75.848
vue,20,1356.160875,1381.660875,0.5,2.455,1356.160875,1381.660875,56,1407.160875,51.0,382.72400000000005
vue,21,1356.939625,1356.939625,0.0,2.755,1356.939625,1356.939625,45,1356.939625,16.0,67.644
vue,22,1356.4678749999998,1380.9678749999998,0.0,2.557,1356.4678749999998,1380.9678749999998,45,1380.9678749999998,49.0,65.09200000000003
vue,23,1357.3815,1392.3815,18.523699999999963,2.924,1357.3815,1392.3815,64,1427.3815,70.0,106.99199999999996
vue,24,1356.3827499999998,1379.3827499999998,0.0,2.531,1356.3827499999998,1379.3827499999998,63,1379.3827499999998,46.0,74.19600000000001
vue,25,1358.028375,1387.028375,6.394324999999981,2.92,1358.028375,1387.028375,57,1416.028375,58.0,69.97600000000004
vue,26,1357.4709,1357.4709,0.0,2.854,1357.4709,1357.4709,59,1357.4709,16.0,119.13200000000003
vue,27,1356.4654999999998,1377.9654999999998,0.0,3.147,1356.4654999999998,1377.9654999999998,42,1377.9654999999998,43.0,59.52400000000006
vue,28,1357.88875,1357.88875,0.0,3.138,1357.88875,1357.88875,44,1357.88875,16.0,63.832000000000065
vue,29,1356.996875,1381.496875,0.0,2.794,1356.996875,1381.496875,46,1381.496875,49.0,75.76400000000001
vue,30,1356.77925,1382.77925,2.0,2.8640000000000003,1356.77925,1382.77925,46,1408.77925,52.0,68.68800000000003
vue,31,1358.3131250000001,1358.3131250000001,0.0,3.6339999999999995,1358.3131250000001,1358.3131250000001,43,1358.3131250000001,16.0,60.868000000000045
vue,32,1356.053125,1356.053125,0.0,2.417,1356.053125,1356.053125,40,1356.053125,16.0,55.46800000000003
vue,33,1355.7830000000001,1378.7830000000001,0.0,2.4610000000000003,1355.7830000000001,1378.7830000000001,53,1378.7830000000001,46.0,57.36400000000002
vue,34,1356.216125,1356.216125,0.0,2.443,1356.216125,1356.216125,42,1356.216125,16.0,64.40400000000002
vue,35,1357.7645000000002,1390.2645000000002,13.447099999999978,3.092,1357.7645000000002,1390.2645000000002,73,1422.7645000000002,65.0,58.83600000000006
vue,36,1355.44675,1355.44675,0.0,2.833,1355.44675,1355.44675,39,1355.44675,16.0,60.55600000000002
vue,37,1355.31735,1380.31735,0.0,2.946,1355.31735,1380.31735,44,1380.31735,50.0,67.28400000000006
vue,38,1358.338,1381.838,0.0,2.766,1358.338,1381.838,49,1381.838,47.0,66.20800000000003
vue,39,1358.27895,1358.27895,0.0,3.168,1358.27895,1358.27895,47,1358.27895,16.0,64.15600000000003
vue,40,1397.3001249999998,1464.8001249999998,75.53997500000003,13.453,1397.3001249999998,1464.8001249999998,113,1532.3001249999998,135.0,217.85600000000002
vue,41,1356.2847500000003,1382.7847500000003,1.7430499999999256,4.152,1356.2847500000003,1382.7847500000003,50,1409.2847500000003,53.0,71.468
vue,42,1357.0331999999999,1357.0331999999999,0.0,2.916,1357.0331999999999,1357.0331999999999,46,1357.0331999999999,16.0,63.79200000000003
vue,43,1357.054125,1382.054125,0.0,2.7840000000000003,1357.054125,1382.054125,49,1382.054125,50.0,69.59599999999999
vue,44,1357.3323,1379.8323,0.0,2.814,1357.3323,1379.8323,48,1379.8323,45.0,56.96400000000004
vue,45,1355.913,1378.913,0.0,3.075,1355.913,1378.913,42,1378.913,46.0,60.08000000000002
vue,46,1357.223,1386.723,7.555399999999963,2.88,1357.223,1386.723,48,1416.223,59.0,83.43200000000004
vue,47,1355.8563749999998,1379.8563749999998,0.0,2.319,1355.8563749999998,1379.8563749999998,48,1379.8563749999998,48.0,63.49200000000002
vue,48,1358.57565,1381.07565,0.0,3.122,1358.57565,1381.07565,50,1381.07565,45.0,63.136000000000024
vue,49,1355.86775,1355.86775,0.0,2.265,1355.86775,1355.86775,44,1355.86775,16.0,56.04400000000005
vue,50,1355.637375,1381.637375,1.0,3.3369999999999997,1355.637375,1381.637375,49,1407.637375,52.0,75.76000000000003
vue,51,1358.5846499999998,1383.5846499999998,0.0,3.5439999999999996,1358.5846499999998,1383.5846499999998,51,1383.5846499999998,50.0,64.47200000000005
vue,52,1360.33675,1390.33675,7.932649999999967,4.118,1360.33675,1390.33675,60,1420.33675,60.0,80.28800000000004
